name
HTML5
CSS3
JavaScript
TypeScript
React.js
Vue.js
Angular
Next.js
Nuxt.js
Webpack
Kotlin
Swift
Android SDK
iOS SDK
React Native
Flutter
Xamarin
Jetpack Compose
UIKit
Core Data
Figma
Sketch
Adobe XD
Photoshop
Illustrator
InDesign
After Effects
Cinema 4D
Blender
Principle
TensorFlow
PyTorch
Machine Learning
Data Science
Pandas
NumPy
Scikit-learn
Docker Compose
Serverless
Express.js
NestJS
Spring Cloud
JPA
Hibernate Validator
JUnit
Mockito
Cucumber
Postman
Swagger
OpenAPI
Prometheus
Grafana
ELK Stack
Splunk
PowerShell
Bash
Linux Shell
Vagrant
Chef
Puppet
MongoDB Atlas
Firebase
TensorBoard
Kafka Streams
Akka
RxJava
Golang Modules
Dart
Ruby on Rails
Spring Security
OAuth2
OpenID Connect
WebSockets
gRPC
Thrift
Android Jetpack
SwiftUI
Project Management
Business Analysis
Product Management
Quality Assurance
Stakeholder Management
Risk Management
Change Management
Process Improvement
PMI / PMP
Content Strategy
Copywriting
Email Marketing
Brand Strategy
Conversion Rate Optimization
Affiliate Marketing
Google Ads
Facebook Ads
Marketing Analytics
CRM (Salesforce)
UX Research
Wireframing
Prototyping
3D Animation
Motion Graphics
Video Production
Illustrator
InDesign
After Effects
Tableau
Power BI
SAS
Network Architecture
Firewall Configuration
Load Balancing
CI/CD Pipelines
Server Monitoring
Database Administration
VMware
OpenStack
Cloud Security
Project Management (RU)
Анализ требований
Архитектура ПО
Мониторинг безопасности
Криптография
Пентестинг
